orthography,IPA
moral,'mo-ɾal
doctor,
afortunado,
disparado,
derechos,
lento,
guardaespaldas,
volveré,
alemán,
letras,
sirven,
taylor,
tuyo,
arturo,
encantador,
charla,
juntas,
reputación,
dormido,
tontos,
vistazo,
sabían,
perdona,
capitan,
jamás,
Patrick,
esfuerzo,
volvemos,
éramos,
hermoso,
cadena,
pan,
rico,
sacaré,
mostraré,
hayan,
dean,
déme,
capa,
regalos,
rastro,
bosque,
pastel,
emergencia,
bebidas,
fondos,
conociste,
andando,
voces,
ti,
trabajadores,
Evan,
prepárate,
personaje,
oeste,
versión,
deme,
colina,
verá,
esperanzas,
llevarme,
greene,
peor,
guerreros,
vengas,
brian,
primavera,
grados,
gira,
impresionante,
carta,
comer,
solos,
estadounidense,
baile,
movimiento,
cura,
marcha,
divertido,
escala,
fecha,
príncipe,
levántate,
bajas,
creas,
ultimo,
negocios,
pago,
Marissa,
medicina,
pedir,
pirata,
posiblemente,
conseguir,
visitar,
casarte,
tonterías,
periodista,
apúrense,
mírate,
sospechoso,
definitivamente,
mono,
quemar,
quede,
ocupada,
reserva,
dei,
llamo,
periódico,
gris,
Phil,
teddy,
descanso,
matarme,
correcta,
mantenga,
ritmo,
lois,
richard,
siguen,
zapato,
planes,
hiciste,
suicidio,
abran,
damos,
murieron,
salida,
lastimar,
sostén,
dile,
consejos,
lenguaje,
impresión,
licencia,
josé,
modos,
tiro,
emperador,
profundamente,
cambiar,
yendo,
usa,
talvez,
pudo,
fuertes,
um,
pez,
marca,
hecha,
haberte,
pasará,
pensamientos,
esclavos,
casino,
darte,
dan,
estudios,
volviste,
gandalf,
regresaré,
enviar,
shrek,
sabrán,
comercial,
campamento,
dientes,
pudiste,
planeta,
guste,
turno,
suya,
orgullo,
usando,
fracaso,
in,
desaparecido,
resultado,
carol,
confundido,
tomaremos,
oso,
novia,
sal,
joven,
espacio,
señoría,
empezar,
tranquilízate,
hueso,
útil,
brazos,
actores,
jurado,
cerveza,
nadie,
campo,
maravillosa,
fuiste,
gustó,
revés,
permanecer,
lástima,
gustado,
hablarte,
vos,
fila,
fueras,
mensaje,
ladrón,
lista,
jugar,
gane,
sobrino,
cartas,
amable,
oír,
partida,
autoridad,
ten,
laboratorio,
alguno,
dió,
loca,
diablo,
cuello,
cien,
bajen,
mesa,
resolver,
juego,
prometió,
terrible,
luke,
deberían,
desafortunadamente,
atención,
decirnos,
romanos,
vivido,
ma,
moneda,
tendrías,
rescate,
sigamos,
entenderlo,
estructura,
cobarde,
desastre,
grandioso,
aprecio,
conexión,
investigando,
detengan,
esta,
soy,
metido,
veamos,
vendedor,
raro,
riesgo,
aburrido,
ratas,
pocas,
pasas,
ponlo,
suyos,
respuesta,
encargo,
encerrado,
jugamos,
dejé,
así,
intentaba,
por,
pata,
salta,
actriz,
cortado,
escudo,
inocente,
domingo,
hacen,
hombres,
chicas,
historias,
junior,
fantasmas,
golpe,
sea,
estan,
culpable,
arrestado,
enseñar,
cuidando,
adivina,
tus,
abrió,
jueves,
conducir,
serían,
centavos,
estén,
diles,
disparos,
seguir,
final,
vendrán,
difíciles,
descansa,
pequeños,
cariño,
querrá,
música,
permitir,
recién,
venga,
traidor,
estrellas,
sorprende,
seguirá,
Bourne,
saltar,
Florida,
vendrás,
procedimiento,
martes,
recuerdas,
descubierto,
bin,
análisis,
enferma,
venta,
pelea,
tuve,
disculpe,
montaña,
jones,
estáis,
tomar,
elizabeth,
combate,
quedamos,
pinta,
cayó,
ayudarla,
inteligencia,
mal,
dejaste,
básicamente,
trasero,
llevaba,
llamen,
adoro,
ayudarnos,
noticias,
ello,
escúchame,
barco,
ganar,
ruby,
millones,
dólares,
absoluto,
paredes,
pasado,
jesse,
volvamos,
palabras,
nathan,
pagan,
interesado,
llevando,
taxi,
mates,
tranquilos,
vuestro,
enseña,
suelo,
molesto,
espacial,
traes,
misterio,
feo,
orden,
baje,
fianza,
míos,
thomas,
fuese,
podremos,
preocuparse,
estupidez,
Jessica,
criatura,
viniendo,
despedida,
afecta,
corre,
par,
come,
samurai,
ciudadanos,
estudiante,
jeff,
coge,
acabo,
posiciones,
mía,
alex,
circunstancias,
roma,
volveremos,
deseas,
desgracia,
sombras,
lanza,
pronto,
sabía,
anoche,
pagaré,
protección,
entendí,
pruebas,
mujer,
alto,
rata,
cerebral,
kane,
aceite,
botón,
troya,
feliz,
mi,
pensamos,
famosa,
esperemos,
seré,
coordenadas,
allí,
estará,
pájaros,
mil,
tranquila,
esté,
jake,
club,
tirar,
detenga,
finales,
asegurarme,
ahora,
bart,
dex,
bebida,
convirtió,
robado,
último,
terry,
faltan,
alma,
cerrada,
disculparme,
nosotros,
matt,
howard,
carro,
aventura,
cuántos,
posesión,
saberlo,
conocida,
expresión,
cristal,
niega,
mensajes,
limpia,
plata,
docena,
edad,
división,
firmar,
pintura,
corazones,
espectáculo,
clave,
ayudo,
hechizo,
cretino,
cabeza,
ganaste,
bendición,
identidad,
seres,
psiquiatra,
el,
mata,
partes,
necesitaba,
verás,
londres,
prefiero,
famoso,
fortaleza,
cayendo,
decirle,
territorio,
realmente,
esas,
dejara,
teme,
preparados,
cuchillo,
cosas,
pastor,
jugo,
alan,
ala,
medalla,
gente,
myers,
cirugía,
sabremos,
salgo,
quince,
gracioso,
suficiente,
barato,
decente,
honor,
vine,
logro,
casada,
poción,
podéis,
mierda,
cual,
presencia,
vemos,
pesar,
menudo,
camina,
fué,
fuera,
marica,
vigilancia,
Annie,
disco,
ron,
carl,
olvídalo,
texas,
sentido,
robaste,
viven,
escenario,
debamos,
departamento,
roja,
idiota,
clínica,
katie,
bonito,
darse,
ponerle,
carreras,
muestras,
coger,
embajador,
familiares,
nosotras,
abajo,
conseguido,
lados,
dejaré,
comido,
asesinado,
era,
habían,
madera,
sally,
villa,
pie,
pone,
pierdes,
bicicleta,
fogg,
mantengan,
sistemas,
hablar,
ganado,
héroe,
hallar,
deba,
enorme,
asesina,
llores,
registros,
francamente,
barrio,
perdóname,
incluyendo,
buzz,
peces,
laura,
tíos,
sra,
das,
murió,
trucos,
discutir,
de,
secuestro,
echar,
dejado,
apesta,
coraje,
colega,
e,
tio,
negativo,
donna,
oreja,
basura,
asunto,
oí,
refiero,
joder,
creen,
quiénes,
quítate,
date,
traeré,
relación,
capacidad,
considerar,
seth,
marihuana,
precisamente,
granja,
mueve,
tensión,
conseguiré,
caballero,
puesta,
maldicion,
okay,
equipo,
oro,
preguntes,
fabuloso,
amanecer,
pero,
kong,
muchacha,
cercano,
ocurrir,
llega,
educación,
gritar,
secreta,
maldición,
inspector,
dado,
enamorado,
pongas,
montón,
normalmente,
base,
preciso,
entró,
bienvenidos,
invierno,
vale,
oscuridad,
eddie,
enseñó,
wow,
robar,
ir,
apropiado,
buscado,
oficialmente,
muera,
jean,
actúa,
caja,
convencer,
bromas,
campaña,
construir,
positivo,
jonathan,
nueva,
hombre,
interés,
ocurra,
qué,
recuerdos,
caminando,
precio,
miles,
vuelva,
doy,
mago,
rose,
huele,
encuentro,
dosis,
enemigos,
Gary,
dieta,
algunos,
debía,
eeuu,
tomen,
línea,
quienes,
levante,
podemos,
asegurar,
agujero,
termine,
tradición,
satélite,
entero,
encontrarás,
vienen,
actor,
metro,
papa,
ideas,
arte,
virgen,
iguales,
ido,
discúlpame,
trajeron,
otras,
encontramos,
existen,
promesa,
eric,
tema,
ahí,
necesite,
miss,
dolares,
diamante,
abril,
hacerte,
supiste,
pasan,
ayudas,
siete,
criaturas,
ninguno,
seguiremos,
árbol,
váyase,
jugando,
irán,
detenerlo,
cama,
estacionamiento,
popular,
pagado,
vigilando,
traído,
white,
vidas,
bombas,
recuerden,
conde,
vivía,
hermana,
decide,
cuál,
aprende,
premio,
operaciones,
metes,
tierras,
todavia,
levantar,
especiales,
sonido,
coincidencia,
contando,
luz,
acero,
nueve,
visitas,
rezar,
soporto,
tendremos,
contar,
aun,
quedarnos,
sentarte,
entonces,
rubia,
salgas,
federales,
niñas,
hables,
tendría,
alcalde,
cabo,
amor,
piso,
bienvenida,
tecnología,
grace,
video,
nota,
enojado,
pies,
negros,
noticia,
quema,
tonto,
nick,
brindis,
enviado,
paren,
rango,
adulto,
gas,
aquí,
cine,
año,
asuntos,
obras,
hotel,
instrucciones,
golpes,
caer,
actuación,
necesitamos,
escuchaste,
tamaño,
srta,
canta,
generación,
haciendo,
trae,
carter,
comprendo,
fácil,
comprende,
escrito,
asusta,
veas,
maría,
ud,
botas,
trabajamos,
hogar,
lado,
cigarrillo,
plástico,
flota,
hacían,
pongo,
sorprendente,
salió,
columna,
rodillas,
desaparecer,
moda,
mentiroso,
viniera,
listas,
canal,
todos,
venir,
putas,
luces,
buenos,
derecha,
habido,
callate,
perdón,
romano,
lex,
lograrlo,
viktor,
daría,
contra,
civiles,
matan,
ridículo,
demás,
testigos,
militares,
t,
sois,
podrás,
escribe,
cindy,
santos,
cuero,
morirá,
alguacil,
oz,
metas,
king,
estudiantes,
llevas,
utilizar,
cientos,
sabido,
intención,
saludos,
mataron,
embarazada,
adonde,
encontré,
james,
tuyos,
estaban,
secretaria,
estarían,
quirófano,
enfermera,
contigo,
revolución,
di,
arriba,
jesucristo,
venido,
nadar,
puedas,
sección,
tratan,
decidió,
doctores,
preparado,
respira,
fuentes,
demanda,
compromiso,
rob,
pozo,
precioso,
pierde,
helado,
escapar,
ella,
riddick,
diario,
arreglar,
debe,
devolver,
fortuna,
universo,
lewis,
cocaína,
estarías,
informado,
operación,
cada,
dueño,
uh,
primera,
matado,
barcos,
custodia,
vía,
sale,
quiero,
sueños,
mcdonalds,
planeando,
otto,
práctica,
grado,
salimos,
llevo,
aceptado,
aléjate,
